Rank,Entry ID,Entry Name,Time Remaining,Points,Lineup,Player,Roster Position,% Drafted,FPTS
1,900001,NorthStarDFS,00:00,182.44, QB1 / RB1 / WR1 / FLEX1,Quincy Quasar,QB,18.4%,25.32
2,900002,CourtVision88,00:00,179.80, QB2 / RB2 / WR2 / FLEX2,Archer Atlas,RB,22.1%,21.50
3,900003,MapleLineup,00:00,177.35, QB3 / RB3 / WR3 / FLEX3,Beacon Bell,WR,31.7%,19.80
4,900004,SalarySavant,00:00,175.10, QB4 / RB4 / WR4 / FLEX4,Comet Cole,WR,14.2%,18.10
5,900005,FourthQuarter,00:00,173.90, QB5 / RB5 / WR5 / FLEX5,Dune Davis,RB,27.5%,20.40
6,900006,RainmakerDFS,00:00,171.25, QB6 / RB6 / WR6 / FLEX6,Ember Ellis,TE,9.8%,16.70
7,900007,GridironGenius,00:00,169.88, QB7 / RB7 / WR7 / FLEX7,Fable Fox,WR,34.0%,17.20
8,900008,BlueChipBuild,00:00,168.42, QB8 / RB8 / WR8 / FLEX8,Gamma Gray,QB,11.6%,24.20
9,900009,ValueHunter,00:00,166.75, QB9 / RB9 / WR9 / FLEX9,Halo Hart,RB,19.3%,15.90
10,900010,SundayScience,00:00,165.50, QB10 / RB10 / WR10 / FLEX10,Indigo Ivy,WR,8.4%,14.30
11,900011,RedZoneRiddle,00:00,163.22, QB11 / RB11 / WR11 / FLEX11,Jasper Jones,TE,12.7%,13.60
12,900012,OptimalOrbit,00:00,161.90, QB12 / RB12 / WR12 / FLEX12,Kite King,RB,25.0%,19.10
13,900013,ChalkChaser,00:00,160.44, QB13 / RB13 / WR13 / FLEX13,Lumen Lane,WR,29.5%,16.80
14,900014,StatStorm,00:00,159.88, QB14 / RB14 / WR14 / FLEX14,Mosaic Moon,QB,6.2%,22.00
15,900015,LineupLighthouse,00:00,158.20, QB15 / RB15 / WR15 / FLEX15,Nova Nash,RB,17.1%,14.70
16,900016,DeepValue,00:00,156.77, QB16 / RB16 / WR16 / FLEX16,Orbit Owens,WR,21.3%,15.40
17,900017,FantasyForge,00:00,155.10, QB17 / RB17 / WR17 / FLEX17,Pixel Parks,TE,10.1%,12.90
18,900018,LateSwapLab,00:00,153.65, QB18 / RB18 / WR18 / FLEX18,Quartz Quinn,RB,13.5%,18.00
19,900019,FieldGeneral,00:00,152.44, QB19 / RB19 / WR19 / FLEX19,Radar Reed,WR,26.7%,17.30
20,900020,NumbersNook,00:00,150.20, QB20 / RB20 / WR20 / FLEX20,Solar Stone,QB,15.9%,20.10
21,900021,ContestCraft,00:00,148.88, QB21 / RB21 / WR21 / FLEX21,Tango Tate,RB,18.6%,13.80
22,900022,SharpSunday,00:00,147.32, QB22 / RB22 / WR22 / FLEX22,Umber Urban,WR,7.7%,11.60
23,900023,PrimePlay,00:00,145.90, QB23 / RB23 / WR23 / FLEX23,Vapor Vale,TE,16.5%,14.90
24,900024,EdgeFinder,00:00,144.72, QB24 / RB24 / WR24 / FLEX24,Willow West,RB,20.2%,15.20
25,900025,BoxScoreBard,00:00,143.10, QB25 / RB25 / WR25 / FLEX25,Xenon X,RB,5.9%,10.80
26,900026,DataDriven,00:00,141.66, QB26 / RB26 / WR26 / FLEX26,Yarrow Young,WR,23.4%,12.40
27,900027,ScoreboardSage,00:00,139.95, QB27 / RB27 / WR27 / FLEX27,Zephyr Zane,QB,9.5%,18.70
28,900028,ChalkWalk,00:00,138.50, QB28 / RB28 / WR28 / FLEX28,Atlas Avery,RB,30.0%,13.20
29,900029,FantasyFolio,00:00,136.82, QB29 / RB29 / WR29 / FLEX29,Birch Brooks,WR,18.8%,12.10
30,900030,SundaySignal,00:00,135.40, QB30 / RB30 / WR30 / FLEX30,Cinder Cruz,TE,11.3%,10.50
31,900031,MatchupMuse,00:00,133.76, QB31 / RB31 / WR31 / FLEX31,Delta Drew,RB,24.6%,14.40
32,900032,RedemptionRoute,00:00,132.08, QB32 / RB32 / WR32 / FLEX32,Elm Eden,WR,13.9%,11.90
33,900033,GoalLineGrid,00:00,130.25, QB33 / RB33 / WR33 / FLEX33,Flint Flynn,QB,19.0%,16.00
34,900034,HiddenCeiling,00:00,128.88, QB34 / RB34 / WR34 / FLEX34,Glacier Gray,RB,8.1%,9.80
35,900035,MondayMinds,00:00,127.12, QB35 / RB35 / WR35 / FLEX35,Harbor Hale,WR,17.8%,10.70
36,900036,TierBreaker,00:00,125.55, QB36 / RB36 / WR36 / FLEX36,Iron Iris,TE,12.2%,12.60
37,900037,FieldNotes,00:00,124.10, QB37 / RB37 / WR37 / FLEX37,Juniper Joy,RB,16.4%,13.10
38,900038,ClutchCalculus,00:00,122.88, QB38 / RB38 / WR38 / FLEX38,Keystone Kit,WR,21.9%,11.20
39,900039,ProbabilityPlay,00:00,120.44, QB39 / RB39 / WR39 / FLEX39,Lucid Lux,QB,10.8%,15.50
40,900040,FinalWhistle,00:00,118.76, QB40 / RB40 / WR40 / FLEX40,Meridian Max,RB,14.6%,10.30
