Rank,Entry ID,Entry Name,Points,Prize,Lineup,Player,Roster Position,% Drafted,FPTS
1,13001,MapleLineup,195.00,$150.00,QB Nova North | RB Beacon Birch | WR River Rush,Nova North,QB,31.0%,26.0
2,13002,NorthStarDFS,190.00,$25.50,QB Comet Core | RB Nova North | WR Prism Peak,Comet Core,QB,17.0%,28.0
3,13003,SalarySavant,182.00,$0.00,QB Beacon Birch | RB Delta Dawn | WR River Rush,Beacon Birch,QB,25.0%,22.0
4,13004,CourtVision88,176.00,$0.00,QB Nova North | RB Prism Peak | WR River Rush,Prism Peak,RB,13.0%,15.0
5,13005,FourthQuarter,168.00,$0.00,QB Orbit One | RB Anchor Low | WR River Rush,Delta Dawn,RB,10.0%,14.0
6,13006,FieldEntryOne,165.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,River Rush,WR,22.0%,18.0
7,13007,FieldEntryTwo,162.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Orbit One,QB,27.0%,20.0
8,13008,FieldEntryThree,158.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Anchor Low,RB,4.0%,5.0
9,13009,FieldEntryFour,153.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Field Quarter,QB,8.0%,17.0
10,13010,FieldEntryFive,148.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Field Runner,RB,12.0%,9.0
